StockCode,Year,ROE,Leverage,Growth,ROA
000157,2019,0.113449,0.19004,1.184937,0.0567245
000157,2020,0.170095,0.2659,0.720477,0.0850475
000157,2021,0.121024,0.434339,-0.131772,0.060512
000157,2022,0.041324,0.403154,-0.626585,0.020662
000157,2023,0.063087,0.352778,0.581339,0.0315435
000158,2015,0.063112,0.217926,9.250712,0.031556
000158,2016,0.062661,0.352132,0.395114,0.0313305
000158,2017,0.060455,0.262357,0.023179,0.0302275
000158,2018,0.030758,0.314156,-0.484743,0.015379
000158,2019,0.016854,0.257659,-0.479549,0.008427
000158,2020,0.016986,0.37409,0.124992,0.008493
000158,2021,0.021529,0.272755,0.211166,0.0107645
000158,2022,-0.03433,0.281666,-2.792336,-0.017165
000158,2023,-0.016301,0.352176,0.452021,-0.0081505
000159,2015,0.02588,0.515392,-0.54688,0.01294
